iter	RMSE
0	22458.12881
1	21437.96421
2	20473.01706
3	19564.30035
4	18698.18763
5	17858.92215
6	17074.92804
7	16329.13451
8	15613.08314
9	14922.81299
10	14293.83868
11	13691.3097
12	13120.05223
13	12564.53994
14	12044.14321
15	11554.06267
16	11078.02032
17	10636.88647
18	10210.97883
19	9798.834835
20	9410.959969
21	9045.03355
22	8700.556336
23	8367.147475
24	8054.046466
25	7757.626352
26	7487.804868
27	7221.732094
28	6970.066943
29	6733.930194
30	6512.407565
31	6309.818521
32	6114.060835
33	5925.699661
34	5742.11004
35	5579.515563
36	5423.634403
37	5278.735009
38	5136.532403
39	5013.397197
40	4896.620919
41	4784.045436
42	4682.493271
43	4583.674341
44	4486.290736
45	4397.957321
46	4317.510868
47	4239.613725
48	4166.530019
49	4101.109488
50	4036.841327
51	3977.097928
52	3919.810312
53	3864.702544
54	3814.846036
55	3765.774995
56	3721.330181
57	3676.758649
58	3638.86183
59	3602.009203
60	3568.296561
61	3534.936002
62	3503.880511
63	3475.38725
64	3448.272992
65	3419.996092
66	3397.129407
67	3374.629053
68	3351.060096
69	3330.865049
70	3308.014124
71	3287.386609
72	3269.709699
73	3253.447801
74	3240.488808
75	3223.219271
76	3205.07324
77	3192.211842
78	3180.298175
79	3167.835066
80	3155.405012
81	3144.319774
82	3130.883926
83	3119.101093
84	3106.537145
85	3096.999441
86	3090.286562
87	3082.058161
88	3074.317612
89	3066.298542
90	3057.639072
91	3043.409585
92	3034.737859
93	3025.713042
94	3018.592495
95	3005.872015
96	2996.556824
97	2989.036574
98	2977.486468
99	2969.458394
100	2961.275392
101	2953.540244
102	2948.170579
103	2940.38051
104	2936.640459
105	2932.294332
106	2929.358822
107	2922.672644
108	2916.955403
109	2908.921069
110	2900.807673
111	2895.597412
112	2886.645097
113	2880.771978
114	2874.632558
115	2868.515831
116	2863.262893
117	2856.187407
118	2850.459357
119	2845.043854
120	2839.850801
121	2836.41387
122	2828.107478
123	2821.328726
124	2815.219223
125	2811.720415
126	2807.287717
127	2801.583577
128	2797.268814
129	2792.894981
130	2789.239902
131	2782.372857
132	2778.51238
133	2773.327829
134	2767.817871
135	2761.512815
136	2756.748161
137	2753.293582
138	2749.173648
139	2743.488464
140	2735.611557
141	2729.142878
142	2724.018803
143	2719.846023
144	2714.862622
145	2710.199296
146	2706.861608
147	2703.70765
148	2698.554267
149	2695.869006
150	2692.086588
151	2688.811391
152	2683.583976
153	2678.155791
154	2674.37975
155	2671.098627
156	2668.881652
157	2666.696744
158	2662.799199
159	2658.011571
160	2655.863665
161	2651.05812
162	2649.133409
163	2645.89402
164	2642.299269
165	2638.740062
166	2635.993146
167	2633.093022
168	2628.124074
169	2623.839335
170	2619.913189
171	2614.847313
172	2612.014106
173	2608.058692
174	2604.936024
175	2601.651184
176	2596.886943
177	2594.417452
178	2588.127742
179	2584.888394
180	2582.931199
181	2579.690632
182	2574.402726
183	2570.672503
184	2565.6889
185	2560.939947
186	2556.477769
187	2555.423703
188	2552.931243
189	2549.753088
190	2546.988028
191	2543.734332
192	2541.638386
193	2536.512171
194	2532.48482
195	2527.418636
196	2523.712204
197	2522.130687
198	2518.971973
199	2514.163885
200	2510.103275
201	2507.036211
202	2504.339023
203	2499.041772
204	2495.005846
205	2492.414453
206	2490.223087
207	2486.234982
208	2483.038242
209	2480.228098
210	2478.569194
211	2472.752693
212	2469.756041
213	2465.512672
214	2463.08748
215	2460.935705
216	2457.131064
217	2452.354245
218	2449.282007
219	2444.134731
220	2440.196195
221	2437.637015
222	2434.051515
223	2430.66325
224	2429.283334
225	2425.77153
226	2424.731033
227	2422.049213
228	2419.197062
229	2415.585602
230	2414.761782
231	2410.684348
232	2408.913417
233	2405.473183
234	2404.09839
235	2401.424298
236	2399.017101
237	2394.597672
238	2389.499274
239	2385.137724
240	2382.757673
241	2379.322846
242	2375.457449
243	2371.725839
244	2367.503785
245	2363.131392
246	2359.577498
247	2356.302713
248	2352.590347
249	2348.565955
250	2345.90413
251	2342.829391
252	2340.903217
253	2337.577059
254	2332.928759
255	2329.760369
256	2325.490188
257	2322.819689
258	2318.381829
259	2314.864842
260	2309.292964
261	2306.343616
262	2302.352524
263	2298.719758
264	2293.68171
265	2290.70522
266	2287.265429
267	2283.516533
268	2280.463189
269	2277.559101
270	2274.246248
271	2271.410225
272	2269.361765
273	2267.261203
274	2264.533521
275	2261.629188
276	2258.221435
277	2255.069154
278	2251.621303
279	2249.595534
280	2247.852469
281	2245.743247
282	2243.013477
283	2240.491882
284	2237.275196
285	2234.563264
286	2231.909538
287	2228.619745
288	2225.393159
289	2223.145704
290	2221.272922
291	2217.787239
292	2215.237724
293	2211.781115
294	2209.597901
295	2208.000265
296	2205.936543
297	2202.216735
298	2199.013766
299	2195.493664
300	2193.975484
301	2192.224861
302	2188.775135
303	2186.165997
304	2184.643821
305	2181.4389
306	2179.966306
307	2177.045562
308	2175.192024
309	2173.581207
310	2170.96539
311	2168.63522
312	2167.239743
313	2164.230915
314	2161.957774
315	2160.280591
316	2158.952831
317	2156.304966
318	2154.246695
319	2151.154142
320	2149.536472
321	2148.14157
322	2145.51011
323	2142.518103
324	2140.060979
325	2138.497207
326	2135.836527
327	2132.512905
328	2130.52429
329	2129.373742
330	2126.459592
331	2124.201016
332	2121.967001
333	2120.995373
334	2118.727422
335	2115.515998
336	2113.207465
337	2111.718013
338	2110.241362
339	2108.317171
340	2107.030591
341	2104.7093
342	2102.209436
343	2100.415708
344	2098.002998
345	2095.445173
346	2094.03227
347	2089.813789
348	2087.519097
349	2085.232974
350	2083.032648
351	2080.57407
352	2078.512912
353	2075.391279
354	2073.513795
355	2070.929664
356	2069.214446
357	2067.105667
358	2066.046323
359	2063.70499
360	2062.777379
361	2061.106008
362	2059.564212
363	2057.267691
364	2056.406307
365	2054.616241
366	2052.084571
367	2050.311165
368	2048.675415
369	2046.49169
370	2044.736367
371	2043.352045
372	2042.542383
373	2040.009035
374	2037.457934
375	2035.452939
376	2034.907551
377	2032.812455
378	2029.740544
379	2027.996117
380	2026.066645
381	2024.172982
382	2022.9822
383	2020.036508
384	2017.352445
385	2016.476766
386	2014.691089
387	2013.564978
388	2011.422705
389	2010.079206
390	2008.381303
391	2005.718635
392	2003.173738
393	2001.401119
394	2000.027483
395	1997.839636
396	1996.890451
397	1994.635222
398	1993.462952
399	1991.466249
400	1990.166505
401	1988.762444
402	1987.874121
403	1986.735623
404	1985.326057
405	1982.565866
406	1981.749406
407	1978.72105
408	1977.492196
409	1976.130396
410	1973.510814
411	1971.260641
412	1969.394351
413	1967.40444
414	1966.577213
415	1964.876966
416	1963.058452
417	1960.36541
418	1958.442185
419	1956.9291
420	1955.087419
421	1952.554688
422	1951.446272
423	1949.442156
424	1946.811645
425	1945.535901
426	1943.492565
427	1941.843107
428	1940.883808
429	1939.814986
430	1937.537976
431	1936.14553
432	1935.135406
433	1932.856994
434	1931.755047
435	1929.539419
436	1927.659652
437	1926.036208
438	1925.181465
439	1922.908618
440	1922.096672
441	1919.646557
442	1917.443149
443	1915.403099
444	1914.639
445	1913.340386
446	1911.710846
447	1909.30204
448	1907.314369
449	1904.736669
450	1902.440541
451	1900.405772
452	1898.606466
453	1897.546277
454	1896.19585
455	1894.836324
456	1893.201941
457	1891.816333
458	1889.983104
459	1888.497857
460	1887.433769
461	1885.918936
462	1883.872997
463	1881.681386
464	1881.0328
465	1879.35966
466	1878.029532
467	1876.083127
468	1874.816221
469	1873.960356
470	1872.407632
471	1871.429943
472	1869.30301
473	1867.872283
474	1867.020424
475	1866.053687
476	1864.282119
477	1863.194508
478	1861.791243
479	1860.157562
480	1859.343986
481	1857.790938
482	1857.035385
483	1855.39001
484	1853.8162
485	1852.740159
486	1851.850385
487	1849.7751
488	1848.217655
489	1846.813032
490	1844.450325
491	1843.49284
492	1842.536014
493	1841.77679
494	1840.050401
495	1838.705919
496	1837.302039
497	1835.611743
498	1834.335827
499	1832.107944
500	1830.378683
501	1829.698589
502	1828.332603
503	1826.611273
504	1825.689802
505	1824.978155
506	1823.023605
507	1822.127275
508	1820.525153
509	1818.20174
510	1816.870143
511	1815.512921
512	1813.591893
513	1811.479657
514	1809.689247
515	1809.007472
516	1807.377053
517	1806.147816
518	1805.182157
519	1804.166668
520	1802.973162
521	1801.701382
522	1800.67226
523	1799.542478
524	1797.67384
525	1797.012579
526	1795.258745
527	1794.627281
528	1793.586918
529	1792.60018
530	1791.453997
531	1790.176941
532	1789.343416
533	1787.279728
534	1785.19913
535	1783.763781
536	1782.344612
537	1780.590925
538	1779.332654
539	1777.807441
540	1776.749038
541	1775.573046
542	1773.935951
543	1772.97038
544	1772.023003
545	1771.450656
546	1769.629856
547	1768.212849
548	1767.035187
549	1766.181489
550	1765.530741
551	1764.740289
552	1763.409611
553	1761.62232
554	1760.823537
555	1759.905216
556	1758.78791
557	1757.425591
558	1755.091742
559	1754.004213
560	1752.495163
561	1750.502744
562	1749.381506
563	1748.528442
564	1747.745916
565	1746.230457
566	1745.502965
567	1744.424134
568	1743.125957
569	1742.557378
570	1741.720363
571	1739.851319
572	1738.592468
573	1738.008245
574	1736.771581
575	1736.008142
576	1735.583719
577	1734.397464
578	1732.767859
579	1731.843006
580	1730.113486
581	1729.589813
582	1728.8863
583	1728.069766
584	1726.710218
585	1724.712232
586	1723.567199
587	1721.879
588	1721.291586
589	1719.43549
590	1718.896822
591	1717.369799
592	1716.194658
593	1715.016121
594	1713.022596
595	1711.997898
596	1710.548853
597	1709.315484
598	1708.853888
599	1707.745058
600	1706.6062
601	1705.110354
602	1703.804815
603	1702.859133
604	1700.991501
605	1699.749455
606	1699.136703
607	1697.54163
608	1696.437733
609	1695.008476
610	1694.184184
611	1693.689001
612	1692.118516
613	1690.616624
614	1689.072172
615	1687.808403
616	1686.471829
617	1686.066742
618	1685.611177
619	1684.384504
620	1683.782665
621	1682.220276
622	1681.517496
623	1680.543623
624	1679.245937
625	1677.409129
626	1676.817921
627	1676.156354
628	1675.055723
629	1674.365699
630	1673.278026
631	1671.986594
632	1671.311201
633	1669.942895
634	1668.803338
635	1667.086067
636	1666.146796
637	1665.026286
638	1663.816794
639	1662.336973
640	1661.810467
641	1660.73202
642	1660.190238
643	1659.001494
644	1657.367764
645	1656.389701
646	1655.298438
647	1654.037584
648	1652.613592
649	1651.762564
650	1650.713832
651	1649.927892
652	1648.933983
653	1647.790258
654	1647.391349
655	1646.281389
656	1644.621079
657	1643.59306
658	1642.476954
659	1640.929204
660	1640.576367
661	1639.154869
662	1638.821806
663	1638.312228
664	1636.87922
665	1636.494449
666	1634.827955
667	1634.497795
668	1634.125801
669	1633.230009
670	1632.472086
671	1631.317846
672	1630.499845
673	1629.615671
674	1629.067505
675	1628.239939
676	1626.901087
677	1626.148944
678	1624.680473
679	1623.607823
680	1622.398365
681	1621.195697
682	1620.277664
683	1618.667072
684	1618.201379
685	1617.704944
686	1616.368746
687	1615.347298
688	1614.129195
689	1613.773542
690	1612.925298
691	1611.698708
692	1611.359217
693	1610.603715
694	1609.180041
695	1608.432969
696	1607.487374
697	1606.597117
698	1605.653707
699	1605.125234
700	1604.369081
701	1603.265584
702	1602.294837
703	1600.9067
704	1600.261607
705	1599.220206
706	1597.781629
707	1597.083721
708	1596.082076
709	1594.94274
710	1593.874915
711	1593.229553
712	1592.002233
713	1591.026801
714	1590.108215
715	1589.743238
716	1588.788612
717	1587.589353
718	1586.923961
719	1585.675751
720	1584.752726
721	1583.712149
722	1582.826527
723	1582.253224
724	1581.432136
725	1580.449362
726	1578.900298
727	1578.141311
728	1577.008629
729	1575.785977
730	1574.674932
731	1573.313207
732	1572.094768
733	1570.635877
734	1569.614969
735	1568.520698
736	1567.530631
737	1566.526136
738	1565.732738
739	1564.860448
740	1563.767242
741	1563.003951
742	1562.500739
743	1561.128917
744	1560.417348
745	1559.740764
746	1558.788123
747	1557.50782
748	1556.046048
749	1555.250832
750	1553.96707
751	1553.376709
752	1552.432219
753	1551.594392
754	1550.518747
755	1550.221122
756	1548.901713
757	1547.649274
758	1546.784983
759	1545.864905
760	1545.188158
761	1544.695021
762	1543.697975
763	1542.961755
764	1541.667658
765	1540.626215
766	1539.768802
767	1537.870705
768	1537.04038
769	1535.626063
770	1534.916963
771	1534.376908
772	1533.513201
773	1532.690297
774	1532.207798
775	1531.188948
776	1529.780835
777	1529.159499
778	1527.971697
779	1527.396097
780	1525.794784
781	1525.179318
782	1524.101471
783	1523.391767
784	1522.353212
785	1521.028145
786	1520.51349
787	1519.501651
788	1518.807083
789	1518.290413
790	1517.311231
791	1516.469124
792	1515.557795
793	1515.232633
794	1513.711281
795	1512.764273
796	1512.467607
797	1511.592917
798	1510.806067
799	1509.892173
