iter	Passed	Remaining
0	64	51358
1	69	27545
2	73	19553
3	78	15535
4	82	13091
5	86	11429
6	90	10287
7	94	9372
8	98	8688
9	102	8117
10	107	7679
11	111	7344
12	116	7031
13	120	6751
14	124	6511
15	128	6288
16	132	6100
17	137	5966
18	141	5814
19	145	5680
20	149	5546
21	153	5425
22	157	5330
23	161	5235
24	165	5144
25	170	5066
26	174	4995
27	178	4917
28	182	4853
29	186	4785
30	190	4720
31	194	4666
32	198	4609
33	202	4565
34	206	4519
35	211	4488
36	215	4441
37	219	4404
38	223	4366
39	227	4326
40	231	4294
41	235	4258
42	239	4224
43	244	4196
44	248	4167
45	252	4141
46	256	4112
47	260	4088
48	264	4060
49	269	4035
50	272	4007
51	276	3982
52	281	3962
53	285	3945
54	289	3922
55	293	3902
56	297	3881
57	301	3861
58	305	3840
59	310	3825
60	314	3810
61	318	3795
62	322	3776
63	326	3759
64	330	3742
65	334	3725
66	340	3722
67	344	3710
68	348	3695
69	352	3680
70	357	3666
71	361	3654
72	365	3639
73	369	3626
74	373	3615
75	378	3601
76	382	3590
77	386	3577
78	390	3565
79	394	3550
80	398	3540
81	402	3528
82	406	3515
83	410	3501
84	415	3492
85	419	3481
86	423	3471
87	427	3460
88	431	3449
89	435	3437
90	439	3425
91	443	3414
92	448	3406
93	452	3397
94	456	3388
95	460	3378
96	465	3370
97	468	3359
98	472	3348
99	476	3338
100	481	3329
101	484	3317
102	488	3306
103	492	3297
104	496	3287
105	500	3278
106	504	3269
107	508	3260
108	513	3253
109	517	3245
110	521	3236
111	525	3226
112	529	3219
113	533	3210
114	537	3200
115	541	3190
116	545	3182
117	549	3173
118	553	3165
119	557	3157
120	561	3150
121	565	3144
122	570	3137
123	574	3133
124	578	3125
125	582	3116
126	586	3109
127	590	3102
128	595	3096
129	599	3087
130	603	3082
131	607	3074
132	611	3068
133	615	3060
134	619	3053
135	623	3044
136	627	3037
137	631	3028
138	635	3020
139	639	3012
140	643	3006
141	647	2998
142	651	2991
143	655	2984
144	659	2978
145	663	2973
146	668	2968
147	672	2961
148	676	2953
149	680	2947
150	684	2942
151	688	2935
152	693	2930
153	697	2923
154	701	2917
155	704	2910
156	709	2904
157	713	2899
158	717	2891
159	723	2892
160	727	2886
161	733	2886
162	736	2879
163	741	2873
164	744	2866
165	750	2866
166	755	2864
167	760	2859
168	764	2852
169	769	2851
170	773	2844
171	778	2841
172	782	2837
173	787	2832
174	791	2828
175	795	2821
176	801	2821
177	805	2814
178	810	2810
179	815	2810
180	821	2809
181	825	2804
182	831	2803
183	835	2797
184	840	2793
185	844	2786
186	848	2781
187	852	2774
188	856	2769
189	860	2763
190	865	2758
191	868	2751
192	873	2746
193	877	2740
194	881	2733
195	885	2727
196	890	2726
197	894	2720
198	898	2714
199	902	2708
200	907	2703
201	911	2698
202	915	2691
203	919	2686
204	923	2679
205	927	2675
206	932	2670
207	936	2664
208	940	2659
209	944	2653
210	948	2646
211	951	2640
212	956	2635
213	960	2630
214	964	2624
215	968	2618
216	972	2612
217	976	2606
218	980	2601
219	984	2595
220	988	2589
221	993	2585
222	998	2583
223	1002	2577
224	1006	2571
225	1010	2565
226	1013	2559
227	1017	2553
228	1021	2547
229	1025	2542
230	1030	2538
231	1034	2532
232	1038	2527
233	1042	2521
234	1047	2518
235	1051	2513
236	1056	2508
237	1060	2505
238	1065	2500
239	1069	2495
240	1073	2491
241	1079	2489
242	1085	2487
243	1090	2484
244	1096	2483
245	1101	2480
246	1106	2477
247	1111	2474
248	1116	2470
249	1121	2467
250	1125	2462
251	1129	2457
252	1134	2452
253	1139	2448
254	1143	2443
255	1147	2438
256	1151	2433
257	1155	2428
258	1159	2422
259	1163	2417
260	1167	2411
261	1172	2407
262	1177	2403
263	1181	2398
264	1185	2392
265	1189	2388
266	1193	2382
267	1197	2377
268	1201	2372
269	1205	2366
270	1216	2374
271	1221	2370
272	1226	2368
273	1231	2363
274	1235	2359
275	1240	2354
276	1251	2363
277	1255	2358
278	1260	2352
279	1265	2349
280	1270	2345
281	1274	2341
282	1278	2335
283	1282	2330
284	1286	2325
285	1290	2319
286	1294	2314
287	1299	2309
288	1302	2303
289	1306	2297
290	1310	2292
291	1314	2286
292	1319	2282
293	1323	2277
294	1326	2271
295	1330	2266
296	1334	2260
297	1338	2255
298	1342	2249
299	1346	2244
300	1351	2239
301	1355	2234
302	1359	2229
303	1363	2224
304	1368	2220
305	1372	2215
306	1376	2210
307	1380	2205
308	1384	2200
309	1388	2195
310	1393	2190
311	1397	2185
312	1401	2180
313	1405	2175
314	1409	2170
315	1413	2165
316	1417	2160
317	1421	2155
318	1425	2149
319	1430	2145
320	1434	2139
321	1438	2134
322	1442	2129
323	1446	2125
324	1450	2120
325	1454	2114
326	1459	2110
327	1463	2106
328	1468	2101
329	1472	2097
330	1476	2092
331	1480	2087
332	1485	2083
333	1489	2077
334	1493	2073
335	1497	2068
336	1501	2063
337	1506	2058
338	1510	2053
339	1514	2048
340	1518	2043
341	1522	2038
342	1526	2033
343	1530	2028
344	1535	2024
345	1540	2020
346	1543	2015
347	1548	2010
348	1552	2005
349	1556	2001
350	1561	1996
351	1565	1991
352	1568	1986
353	1572	1981
354	1576	1976
355	1580	1971
356	1585	1967
357	1590	1963
358	1593	1958
359	1597	1952
360	1602	1948
361	1606	1943
362	1609	1938
363	1614	1933
364	1618	1928
365	1622	1924
366	1627	1919
367	1631	1914
368	1635	1909
369	1639	1905
370	1644	1901
371	1647	1896
372	1651	1891
373	1655	1885
374	1660	1881
375	1664	1876
376	1667	1871
377	1672	1867
378	1677	1862
379	1680	1857
380	1684	1852
381	1688	1848
382	1692	1843
383	1696	1838
384	1701	1834
385	1705	1829
386	1709	1824
387	1713	1819
388	1718	1815
389	1722	1810
390	1726	1805
391	1730	1801
392	1734	1796
393	1739	1792
394	1743	1787
395	1747	1782
396	1751	1778
397	1755	1773
398	1759	1768
399	1763	1763
400	1767	1759
401	1771	1754
402	1775	1749
403	1779	1744
404	1784	1740
405	1788	1735
406	1792	1730
407	1797	1726
408	1801	1722
409	1805	1717
410	1809	1712
411	1813	1707
412	1817	1703
413	1821	1698
414	1825	1693
415	1830	1689
416	1834	1684
417	1838	1680
418	1842	1675
419	1846	1670
420	1851	1666
421	1855	1662
422	1859	1657
423	1863	1652
424	1868	1648
425	1871	1643
426	1876	1638
427	1881	1635
428	1885	1630
429	1889	1626
430	1894	1621
431	1898	1616
432	1902	1612
433	1906	1607
434	1910	1603
435	1915	1598
436	1919	1594
437	1923	1589
438	1927	1585
439	1932	1580
440	1936	1576
441	1940	1572
442	1945	1567
443	1950	1563
444	1954	1559
445	1958	1554
446	1962	1549
447	1966	1544
448	1970	1540
449	1974	1535
450	1978	1530
451	1982	1526
452	1986	1521
453	1990	1517
454	1994	1512
455	1998	1507
456	2002	1503
457	2006	1498
458	2010	1493
459	2015	1489
460	2018	1484
461	2022	1479
462	2027	1475
463	2031	1470
464	2035	1466
465	2039	1461
466	2043	1457
467	2047	1452
468	2052	1448
469	2056	1444
470	2060	1439
471	2064	1434
472	2068	1429
473	2072	1425
474	2077	1421
475	2080	1416
476	2084	1411
477	2088	1407
478	2092	1402
479	2096	1397
480	2100	1393
481	2104	1388
482	2108	1384
483	2113	1379
484	2117	1375
485	2121	1370
486	2125	1365
487	2129	1361
488	2133	1357
489	2138	1352
490	2142	1348
491	2146	1343
492	2150	1339
493	2154	1334
494	2158	1329
495	2163	1325
496	2167	1321
497	2171	1317
498	2176	1312
499	2180	1308
500	2183	1303
501	2188	1298
502	2192	1294
503	2196	1289
504	2200	1285
505	2204	1280
506	2207	1276
507	2211	1271
508	2216	1267
509	2220	1262
510	2224	1258
511	2229	1253
512	2233	1249
513	2237	1245
514	2241	1240
515	2245	1235
516	2250	1231
517	2254	1227
518	2258	1222
519	2262	1218
520	2266	1213
521	2270	1209
522	2275	1204
523	2279	1200
524	2283	1195
525	2287	1191
526	2290	1186
527	2294	1182
528	2299	1177
529	2303	1173
530	2307	1168
531	2311	1164
532	2315	1159
533	2319	1155
534	2324	1151
535	2328	1146
536	2332	1142
537	2336	1137
538	2341	1134
539	2345	1129
540	2349	1124
541	2353	1120
542	2358	1116
543	2361	1111
544	2365	1107
545	2369	1102
546	2373	1097
547	2378	1093
548	2382	1089
549	2386	1084
550	2392	1081
551	2396	1076
552	2401	1072
553	2405	1068
554	2409	1063
555	2414	1059
556	2418	1054
557	2422	1050
558	2426	1046
559	2431	1042
560	2436	1037
561	2440	1033
562	2444	1029
563	2448	1024
564	2452	1020
565	2456	1015
566	2460	1011
567	2464	1006
568	2468	1002
569	2474	998
570	2478	994
571	2483	989
572	2487	985
573	2491	980
574	2496	976
575	2500	972
576	2504	967
577	2508	963
578	2513	959
579	2517	955
580	2521	950
581	2525	946
582	2529	941
583	2534	937
584	2538	933
585	2542	928
586	2547	924
587	2551	919
588	2555	915
589	2559	911
590	2563	906
591	2568	902
592	2573	898
593	2577	893
594	2581	889
595	2585	885
596	2589	880
597	2593	876
598	2597	871
599	2603	867
600	2607	863
601	2611	859
602	2616	854
603	2620	850
604	2624	846
605	2628	841
606	2632	837
607	2636	832
608	2641	828
609	2645	823
610	2649	819
611	2653	815
612	2657	810
613	2661	806
614	2665	801
615	2670	797
616	2674	793
617	2677	788
618	2681	784
619	2685	779
620	2689	775
621	2694	771
622	2698	766
623	2702	762
624	2706	757
625	2711	753
626	2715	749
627	2719	744
628	2723	740
629	2727	735
630	2731	731
631	2735	727
632	2739	722
633	2743	718
634	2748	714
635	2752	709
636	2756	705
637	2760	700
638	2764	696
639	2768	692
640	2772	687
641	2776	683
642	2780	678
643	2784	674
644	2789	670
645	2793	665
646	2797	661
647	2801	657
648	2805	652
649	2810	648
650	2814	644
651	2818	639
652	2822	635
653	2825	630
654	2830	626
655	2834	622
656	2839	618
657	2843	613
658	2847	609
659	2852	604
660	2855	600
661	2860	596
662	2864	591
663	2869	587
664	2873	583
665	2877	579
666	2881	574
667	2885	570
668	2889	565
669	2893	561
670	2898	557
671	2905	553
672	2909	549
673	2913	544
674	2916	540
675	2921	535
676	2925	531
677	2928	527
678	2933	522
679	2937	518
680	2941	513
681	2945	509
682	2949	505
683	2954	500
684	2958	496
685	2962	492
686	2966	487
687	2971	483
688	2975	479
689	2979	475
690	2985	470
691	2988	466
692	2992	462
693	2996	457
694	3001	453
695	3005	449
696	3009	444
697	3013	440
698	3018	436
699	3022	431
700	3026	427
701	3031	423
702	3036	418
703	3040	414
704	3044	410
705	3048	405
706	3052	401
707	3056	397
708	3060	392
709	3064	388
710	3068	384
711	3073	379
712	3077	375
713	3081	371
714	3084	366
715	3088	362
716	3093	358
717	3097	353
718	3100	349
719	3105	345
720	3108	340
721	3113	336
722	3118	332
723	3121	327
724	3126	323
725	3130	319
726	3134	314
727	3138	310
728	3142	306
729	3146	301
730	3151	297
731	3155	293
732	3159	288
733	3163	284
734	3167	280
735	3171	275
736	3175	271
737	3181	267
738	3186	263
739	3190	258
740	3194	254
741	3198	250
742	3202	245
743	3206	241
744	3211	237
745	3215	232
746	3219	228
747	3223	224
748	3228	219
749	3232	215
750	3236	211
751	3241	206
752	3245	202
753	3249	198
754	3253	193
755	3257	189
756	3261	185
757	3266	180
758	3269	176
759	3273	172
760	3277	167
761	3281	163
762	3286	159
763	3289	155
764	3294	150
765	3298	146
766	3302	142
767	3306	137
768	3310	133
769	3314	129
770	3318	124
771	3322	120
772	3327	116
773	3332	111
774	3336	107
775	3340	103
776	3345	99
777	3350	94
778	3354	90
779	3358	86
780	3363	81
781	3366	77
782	3370	73
783	3374	68
784	3379	64
785	3383	60
786	3387	55
787	3392	51
788	3396	47
789	3400	43
790	3404	38
791	3408	34
792	3412	30
793	3416	25
794	3420	21
795	3424	17
796	3428	12
797	3432	8
798	3436	4
799	3440	0
