datetime,region,city,electricity_usage_kwh,traffic_volume_vehicles,industrial_output_units,temperature_celsius,humidity_percent,public_transport_passengers,population_density_per_km2,co2_emissions_ppm
2025-11-08 18:58:35.040324,Busan,Busanjin-gu,4971.98,1075.0,1087.85,12.86,68.7,932.0,915.0,453.41
2025-11-08 18:58:35.040324,Busan,Gangseo-gu,6252.59,1780.0,2851.46,9.53,69.0,2196.0,2603.0,478.55
2025-11-08 18:58:35.040324,Busan,Haeundae-gu,9007.39,22566.0,976.28,11.56,68.9,26638.0,8427.0,547.03
2025-11-08 18:58:35.040324,Busan,Saha-gu,9259.8,3322.0,1191.44,8.34,60.0,459.0,116.0,527.42
2025-11-08 18:58:35.040324,Busan,Suyeong-gu,2741.12,628.0,551.91,9.18,72.5,1151.0,357.0,489.98
2025-11-08 18:58:35.040324,Chungbuk,Cheongju,7237.96,2234.0,1605.6,11.8,63.4,254.0,399.0,484.02
2025-11-08 18:58:35.040324,Chungbuk,Chungju,2206.23,1402.0,1396.58,10.29,68.6,1337.0,2726.0,544.63
2025-11-08 18:58:35.040324,Chungbuk,Danyang,5402.74,1997.0,1550.84,8.78,58.6,2477.0,267.0,484.37
2025-11-08 18:58:35.040324,Chungbuk,Jecheon,4139.05,3022.0,1096.21,10.95,53.5,1500.0,950.0,520.36
2025-11-08 18:58:35.040324,Chungnam,Asan,1789.13,3064.0,979.84,11.15,52.5,1768.0,1191.0,498.57
2025-11-08 18:58:35.040324,Chungnam,Cheonan,1874.12,947.0,919.49,10.51,75.9,550.0,1893.0,458.5
2025-11-08 18:58:35.040324,Chungnam,Gongju,8557.35,1734.0,596.85,11.4,74.7,2104.0,346.0,519.32
2025-11-08 18:58:35.040324,Chungnam,Nonsan,4627.86,1788.0,1345.11,11.09,53.4,3156.0,2890.0,470.67
2025-11-08 18:58:35.040324,Chungnam,Seosan,4255.93,889.0,290.29,10.79,66.5,2071.0,133.0,456.01
2025-11-08 18:58:35.040324,Daegu,Buk-gu,1299.3,3388.0,672.59,8.35,73.1,1010.0,926.0,454.83
2025-11-08 18:58:35.040324,Daegu,Dalseo-gu,5868.21,2315.0,1406.71,9.64,63.3,1024.0,1604.0,542.02
2025-11-08 18:58:35.040324,Daegu,Dong-gu,6096.89,2635.0,857.35,11.06,64.9,1014.0,1167.0,447.73
2025-11-08 18:58:35.040324,Daegu,Jung-gu,14604.67,17286.0,525.9,11.69,60.7,22679.0,2601.0,519.37
2025-11-08 18:58:35.040324,Daegu,Suseong-gu,5532.37,2744.0,435.23,9.78,70.9,1136.0,120.0,467.8
2025-11-08 18:58:35.040324,Daejeon,Daedeok-gu,6047.04,3150.0,908.77,9.29,59.6,3607.0,848.0,512.37
