year,month,product,district,price
2021,yanvar,Baliq,Bektemir,24642.857174999997
2021,yanvar,Baliq,Mirobod,30500.0
2021,yanvar,Baliq,Yakkasaroy,20625.0
2021,yanvar,Baliq,Yangihayot,0.0
2021,yanvar,Baliq,Chilonzor,23000.0
2021,yanvar,Baliq,Mirzo Ulug'bek,21800.0
2021,yanvar,Baliq,Olmazor,26697.61905
2021,yanvar,Baliq,Sirg'ali,24916.66665
2021,yanvar,Baliq,Shayxontoxur,25325.000025
2021,yanvar,Baliq,Uchtepa,25625.0
2021,yanvar,Baliq,Yashnobod,32764.583325
2021,yanvar,Baliq,Yunusobod,27600.0
2021,yanvar,Baliq,Shahar bo'yicha,26899.0936
2021,yanvar,Birinchi navli bug'doy uni,Bektemir,4776.785725
2021,yanvar,Birinchi navli bug'doy uni,Mirobod,5175.0
2021,yanvar,Birinchi navli bug'doy uni,Yakkasaroy,5250.0
2021,yanvar,Birinchi navli bug'doy uni,Yangihayot,0.0
2021,yanvar,Birinchi navli bug'doy uni,Chilonzor,5233.3333
2021,yanvar,Birinchi navli bug'doy uni,Mirzo Ulug'bek,5612.5
2021,yanvar,Birinchi navli bug'doy uni,Olmazor,4975.0
2021,yanvar,Birinchi navli bug'doy uni,Sirg'ali,4985.41665
2021,yanvar,Birinchi navli bug'doy uni,Shayxontoxur,4840.0
2021,yanvar,Birinchi navli bug'doy uni,Uchtepa,4911.45835
2021,yanvar,Birinchi navli bug'doy uni,Yashnobod,5241.3690625
2021,yanvar,Birinchi navli bug'doy uni,Yunusobod,4450.0
2021,yanvar,Birinchi navli bug'doy uni,Shahar bo'yicha,5057.686025
2021,yanvar,Bodring,Bektemir,17315.4762
2021,yanvar,Bodring,Mirobod,20041.666675
2021,yanvar,Bodring,Yakkasaroy,27098.214275
2021,yanvar,Bodring,Yangihayot,0.0
2021,yanvar,Bodring,Chilonzor,23950.0
2021,yanvar,Bodring,Mirzo Ulug'bek,28500.0
2021,yanvar,Bodring,Olmazor,24625.0
2021,yanvar,Bodring,Sirg'ali,29416.66665
2021,yanvar,Bodring,Shayxontoxur,24500.0
2021,yanvar,Bodring,Uchtepa,24364.285725
2021,yanvar,Bodring,Yashnobod,31650.0
2021,yanvar,Bodring,Yunusobod,22937.5
2021,yanvar,Bodring,Shahar bo'yicha,25504.06745
2021,yanvar,Guruch,Bektemir,11071.4286
2021,yanvar,Guruch,Mirobod,10400.0
2021,yanvar,Guruch,Yakkasaroy,11175.0
2021,yanvar,Guruch,Yangihayot,0.0
2021,yanvar,Guruch,Chilonzor,11305.0
2021,yanvar,Guruch,Mirzo Ulug'bek,11055.5556
2021,yanvar,Guruch,Olmazor,10238.541675
2021,yanvar,Guruch,Sirg'ali,12296.13095
2021,yanvar,Guruch,Shayxontoxur,10874.999975
2021,yanvar,Guruch,Uchtepa,11462.5
2021,yanvar,Guruch,Yashnobod,12291.666675
2021,yanvar,Guruch,Yunusobod,13125.0
2021,yanvar,Guruch,Shahar bo'yicha,11465.6242
2021,yanvar,Karam,Bektemir,2500.0
2021,yanvar,Karam,Mirobod,3875.0
2021,yanvar,Karam,Yakkasaroy,2625.0
2021,yanvar,Karam,Yangihayot,0.0
2021,yanvar,Karam,Chilonzor,2375.0
2021,yanvar,Karam,Mirzo Ulug'bek,3100.0
2021,yanvar,Karam,Olmazor,2625.0
2021,yanvar,Karam,Sirg'ali,2562.5
2021,yanvar,Karam,Shayxontoxur,3218.75
2021,yanvar,Karam,Uchtepa,2500.0
2021,yanvar,Karam,Yashnobod,3250.0
2021,yanvar,Karam,Yunusobod,2587.5
2021,yanvar,Karam,Shahar bo'yicha,2872.395825
2021,yanvar,Kartoshka,Bektemir,3770.0
2021,yanvar,Kartoshka,Mirobod,4600.0
2021,yanvar,Kartoshka,Yakkasaroy,4021.4285499999996
2021,yanvar,Kartoshka,Yangihayot,0.0
2021,yanvar,Kartoshka,Chilonzor,3882.1429
2021,yanvar,Kartoshka,Mirzo Ulug'bek,4025.0
